name,author_id,hindex,status,error
Sermkiat Jomjunyong,6506451345,3,success,
Apichat Sopadang,13403750900,16,success,
Nivit Charoenchai,6505486991,4,success,
Tanyanuparb Anantana,36141520400,4,success,
Sakgasem Ramingwong,57200409458,9,success,
Komgrit Leksakul,36052105700,14,success,
Warisa Nakkiew,59553831700,11,success,
Poti Chaopaisarn,57209295533,7,success,
Korrakot Yaibuathet Tippayawong,54407578400,17,success,
Salinee Santiteerakul,56039955900,6,success,
Alonggot Limcharoen,35995452600,5,success,
Wapee Manopiniwes,55867596500,5,success,
Pongsawat Premphet,56576423900,3,success,
Prim Fongsamootr,59251106200,1,success,
Varattaya Jangkrajarng,56800842100,4,success,
Sainatee Chernbumroong,57209832989,3,success,
Siravat Teerasoponpong,57189039232,4,success,
Tulaya Tulardilok,60151728700,0,success,
Jidapa Chanjaroen,60610582300,0,success,
